audio_time,label
1723267302.7304142,Normal Sleep
1723267312.914031,ObstructiveApnea
1723267323.103347,Normal Sleep
1723267333.316841,Normal Sleep
1723267343.4765718,Normal Sleep
1723267353.6558652,Normal Sleep
1723267363.851003,Normal Sleep
1723267374.037035,Normal Sleep
1723267384.2352629,Normal Sleep
1723267394.421728,Snore
1723267404.6083891,Snore
1723267414.791934,Snore
1723267424.974535,Snore
1723267435.157055,Snore
1723267445.3634229,ObstructiveApnea
1723267455.543512,Normal Sleep
1723267465.745392,Snore
1723267475.944094,Snore
1723267486.139754,ObstructiveApnea
1723267496.341147,Normal Sleep
1723267506.537604,Normal Sleep
1723267516.757642,Normal Sleep
1723267526.966666,Normal Sleep
1723267537.191652,Normal Sleep
1723267547.383459,Normal Sleep
1723267557.560947,Normal Sleep
1723267567.7367449,Normal Sleep
1723267577.913035,Normal Sleep
1723267588.126752,Normal Sleep
1723267598.324545,ObstructiveApnea
1723267608.522208,Snore
1723267618.71009,Snore
1723267628.8937569,Snore
1723267639.077595,Snore
1723267649.258199,Snore
1723267659.452239,Normal Sleep
1723267669.63436,Normal Sleep
